id,general_id
6. Doanh thu hoạt động tài chính_21,20006
7. Chi phí tài chính_22,20007
Trong đó: Chi phí lãi vay_23,20008
"8. Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết_24",20009
9. Chi phí bán hàng_25,20010
10. Chi phí quản lý doanh nghiệp_26,20011
11. Lợi nhuận thuần từ hoạt động kinh doanh_30,20012
12. Thu nhập khác_31,20013
13. Chi phí khác_32,20014
14. Lợi nhuận khác_40,20015
15. Tổng lợi nhuận kế toán trước thuế_50,20016
16. Chi phí thuế TNDN hiện hành_51,20017
17. Chi phí thuế TNDN hoãn lại_52,20018
18. Lợi nhuận sau thuế thu nhập doanh nghiệp_60,20019
18.1 Lợi ích của cổ đông thiểu số_61,20020
18.2  Lợi nhuận sau thuế của công ty mẹ_62,20021
19. Lãi cơ bản trên cổ phiếu_70,20022
20. Lãi suy giảm trên cổ phiếu_80,20023
21. Cổ tức_81,20024
I. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH_001,30001
Lợi nhuận (lỗ) trước thuế_01,30002
Điều chỉnh cho các khoản_0101,30003
Khấu hao tài sản cố định_02,30004
Các khoản dự phòng_03,30005
"Lãi, lỗ từ đầu tư vào công ty liên kết_03",30006
Lãi) lỗ chênh lệch tỷ giá hối đoái chưa thực hiện_04,30007
Lãi)/lỗ từ hoạt động đầu tư/thanh lý tài sản cố định_05,30008
Chi phí lãi vay_06,30009
Các khoản giảm trừ khác_07,30010
Thu nhập từ lãi tiền gửi_071,30011
Phân bổ lợi thế thương mại_072,30012
Lãi lỗ thanh lý tài sản cố định_073,30013
Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu động_08,30014
Tăng) giảm các khoản phải thu_09,30015
"Tăng, giảm chứng khoán tự doanh_091",30016
Tăng) giảm hàng tồn kho_10,30017
"Tăng/(giảm) các khoản phải trả (không bao gồm lãi vay, thuế thu nhập doanh nghiệp phải trả_11",30018
Tăng) giảm chi phí trả trước_12,30019
Tiền lãi vay đã trả_13,30020
Thuế thu nhập doanh nghiệp đã nộp_14,30021
Tiền thu khác từ hoạt động kinh doanh_15,30022
Tiền chi khác cho hoạt động kinh doanh_16,30023
Tăng tài sản ngắn hạn khác_17,30024
Chênh lệch tỷ giá trong giai đoạn đầu tư_18,30025
Lưu chuyển tiền thuần từ hoạt động kinh doanh_20,30026
II. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ_2010,30027
"Tiền chi để mua sắm, xây dựng tài sản cố định_21",30028
"Tiền thu do thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác_22",30029
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác_23",30030
"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác_24",30031
Tiền chi đầu tư góp vốn vào đơn vị khác_25,30032
Tiền thu do bán các khoản đầu tư góp vốn vào đơn vị khác_26,30033
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia_27",30034
Tiền đầu tư xây dựng nhà xưởng_28,30035
8. Tăng lợi ích của cổ đông thiếu số khi hợp nhất công ty con_28,30036
9. Loại trừ lợi ích của cổ đông thiểu số khi thanh lý công ty con_28,30037
11. Tiền mặt tại công ty con mua trong năm_2901,30038
12. Tiền thu do nhượng bán các khoản đầu tư vào công ty con_2902,30039
13. Tiền chi gửi ngắn hạn_2903,30040
14. Tiền thu lãi từ gửi ngắn hạn_2904,30041
15. Tiền chi mua tài sản khác_2905,30042
17. Giảm tiền gửi ngân hàng có kỳ hạn_290501,30043
16. Tiền chi để mua thêm cổ phần của công ty con_2906,30044
"18. Tiền thu từ các khoản ký gửi, ký quỹ dài hạn_290601",30045
19. Tiền gửi ngắn hạn_290602,30046
20. Rút tiền gửi ngắn hạn_290603,30047
