id,name,2019_Q4,2018_Q3
10055,3. Đầu tư góp vốn vào đơn vị khác_253,,
10056,4. Dự phòng giảm giá đầu tư dài hạn_258,,
10057,5. Đầu tư nắm giữ đến ngày đáo hạn_259,,
10058,6. Tài sản dài hạn khác_260,,
10059,1. Chi phí trả trước dài hạn_261,,
10060,2. Tài sản thuế thu nhập hoãn lại_2611,,
10061,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn_2611",,
10062,4. Tài sản dài hạn khác_267,,
10063,"5. Ký quỹ, ký cược dài hạn_268",,
10064,6. Lợi thế thương mại_269,,
10065,Tổng cộng tài sản_001,,
10066,I - NỢ PHẢI TRẢ_300,,
10067,1. Nợ ngắn hạn_310,,
10068,1.1. Phải trả người bán ngắn hạn_312,,
10069,1.2. Người mua trả tiền trước ngắn hạn_313,,
10070,1.3.Thuế và các khoản phải nộp Nhà nước_314,,
10071,1.4. Phải trả người lao động_315,,
10072,1.5. Chi phí phải trả ngắn hạn_316,,
10073,1.6. Phải trả nội bộ ngắn hạn_317,,
10074,1.7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng_318,,
10075,1.8. Doanh thu chưa thực hiện ngắn hạn_3181,,
10076,1.9. Phải trả ngắn hạn khác_3182,,
10077,1.10. Vay và nợ thuê tài chính ngắn hạn_3183,,
10078,1.11. Dự phòng phải trả ngắn hạn_320,,
10079,"1.12 Quỹ khen thưởng, phúc lợi_3201",,
10080,1.13. Quỹ bình ổn giá_322,,
10081,1.14. Giao dịch mua bán lại trái phiếu Chính phủ_323,,
10082,2. Nợ dài hạn_330,,
10083,2.1. Phải trả dài hạn người bán_331,,
10084,2.2 Người mua trả tiền trước dài hạn_3311,,
10085,2.3 Chi phí phải trả dài hạn_3312,,
10086,2.4 Phải trả nội bộ về vốn kinh doanh_3313,,
10087,2.5 Phải trả dài hạn nội bộ dài hạn_332,,
10088,2.6 Doanh thu chưa thực hiện dài hạn_3321,,
10089,2.7. Phải trả dài hạn khác_333,,
10090,2.8 Vay và nợ  thuê tài chính dài hạn_334,,
10091,2.9 Trái phiếu chuyển đổi_3341,,
10092,2.11 Thuế thu nhập hoãn lại phải trả_335,,
10093,2.12. Dự phòng phải trả dài hạn_337,,
10094,2.13. Quỹ phát triển khoa học và công nghệ_3371,,
10095,II - VỐN CHỦ SỞ HỮU_400,,
10096,I. Vốn chủ sở hữu_410,,
10097,1. Vốn góp của chủ sở hữu_4101,,
10098,Cổ phiếu phổ thông có quyền biểu quyết_4102,,
10099,Cổ phiếu ưu đãi_4103,,
10100,2.10 Cổ phiếu ưu đãi_4103,,
10101,2. Thặng dư vốn cổ phần_412,,
10102,3. Quyền chọn chuyển đổi trái phiếu_4121,,
10103,4. Vốn khác của chủ sở hữu_413,,
10104,5. Cổ phiếu quỹ_414,,
10105,6. Chênh lệch đánh giá lại tài sản_415,,
10106,7. Chênh lệch tỷ giá hối đoái_416,,
10107,8. Quỹ đầu tư phát triển_417,,
10108,9. Quỹ hỗ trợ sắp xếp doanh nghiệp_4171,,
10109,10. Quỹ khác thuộc vốn chủ sở hữu_419,,
10110,11. Lợi nhuận sau thuế chưa phân phối_420,,
10111,LNST chưa phân phối lũy kế đến cuối kỳ trước_4201,,
10112,LNST chưa phân phối kỳ này_4202,,
10113,12. Nguồn vốn đầu tư XDCB_421,,
10114,13. Lợi ích cổ đông không kiểm soát_4211,,
10115,14. Phụ trội hợp nhất công ty con_4212,,
10116,2. Nguồn kinh phí và các quỹ khác_430,,
10117,2.1. Nguồn kinh phí_432,,
10118,2.2. Nguồn kinh phí đã hình thành TSCĐ_433,,
10119,III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ_500,,
10120,Tổng cộng nguồn vốn_002,,
20001,1. Doanh thu bán hàng và cung cấp dịch vụ_01,,
20002,2. Các khoản giảm trừ doanh thu_02,,
20003,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ_10,,
20004,4. Giá vốn hàng bán_11,,
20005,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ_20,,
20006,6. Doanh thu hoạt động tài chính_21,,
20007,7. Chi phí tài chính_22,,
20008,Trong đó: Chi phí lãi vay_23,,
20009,"8. Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết_24",,
20010,9. Chi phí bán hàng_25,,
20011,10. Chi phí quản lý doanh nghiệp_26,,
20012,11. Lợi nhuận thuần từ hoạt động kinh doanh_30,,
20013,12. Thu nhập khác_31,,
20014,13. Chi phí khác_32,,
20015,14. Lợi nhuận khác_40,,
20016,15. Tổng lợi nhuận kế toán trước thuế_50,,
20017,16. Chi phí thuế TNDN hiện hành_51,,
20018,17. Chi phí thuế TNDN hoãn lại_52,,
20019,18. Lợi nhuận sau thuế thu nhập doanh nghiệp_60,,
20020,18.1 Lợi ích của cổ đông thiểu số_61,,
20021,18.2  Lợi nhuận sau thuế của công ty mẹ_62,,
20022,19. Lãi cơ bản trên cổ phiếu_70,,
20023,20. Lãi suy giảm trên cổ phiếu_80,,
20024,21. Cổ tức_81,,
30001,I. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH_001,,
30002,Lợi nhuận (lỗ) trước thuế_01,,
30003,Điều chỉnh cho các khoản_0101,,
30004,Khấu hao tài sản cố định_02,,
30005,Các khoản dự phòng_03,,
30006,"Lãi, lỗ từ đầu tư vào công ty liên kết_03",,
30007,Lãi) lỗ chênh lệch tỷ giá hối đoái chưa thực hiện_04,,
30008,Lãi)/lỗ từ hoạt động đầu tư/thanh lý tài sản cố định_05,,
30009,Chi phí lãi vay_06,,
30010,Các khoản giảm trừ khác_07,,
30011,Thu nhập từ lãi tiền gửi_071,,
30012,Phân bổ lợi thế thương mại_072,,
30013,Lãi lỗ thanh lý tài sản cố định_073,,
30014,Lợi nhuận (lỗ) từ hoạt động kinh doanh trước thay đổi vốn lưu động_08,,
30015,Tăng) giảm các khoản phải thu_09,,
30016,"Tăng, giảm chứng khoán tự doanh_091",,
30017,Tăng) giảm hàng tồn kho_10,,
30018,"Tăng/(giảm) các khoản phải trả (không bao gồm lãi vay, thuế thu nhập doanh nghiệp phải trả_11",,
30019,Tăng) giảm chi phí trả trước_12,,
30020,Tiền lãi vay đã trả_13,,
30021,Thuế thu nhập doanh nghiệp đã nộp_14,,
30022,Tiền thu khác từ hoạt động kinh doanh_15,,
30023,Tiền chi khác cho hoạt động kinh doanh_16,,
30024,Tăng tài sản ngắn hạn khác_17,,
30025,Chênh lệch tỷ giá trong giai đoạn đầu tư_18,,
30026,Lưu chuyển tiền thuần từ hoạt động kinh doanh_20,,
30027,II. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ_2010,,
30028,"Tiền chi để mua sắm, xây dựng tài sản cố định_21",,
30029,"Tiền thu do thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác_22",,
30030,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác_23",,
30031,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác_24",,
30032,Tiền chi đầu tư góp vốn vào đơn vị khác_25,,
30033,Tiền thu do bán các khoản đầu tư góp vốn vào đơn vị khác_26,,
30034,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia_27",,
30035,Tiền đầu tư xây dựng nhà xưởng_28,,
30036,8. Tăng lợi ích của cổ đông thiếu số khi hợp nhất công ty con_28,,
30037,9. Loại trừ lợi ích của cổ đông thiểu số khi thanh lý công ty con_28,,
30038,11. Tiền mặt tại công ty con mua trong năm_2901,,
30039,12. Tiền thu do nhượng bán các khoản đầu tư vào công ty con_2902,,
30040,13. Tiền chi gửi ngắn hạn_2903,,
30041,14. Tiền thu lãi từ gửi ngắn hạn_2904,,
30042,15. Tiền chi mua tài sản khác_2905,,
30043,17. Giảm tiền gửi ngân hàng có kỳ hạn_290501,,
30044,16. Tiền chi để mua thêm cổ phần của công ty con_2906,,
30045,"18. Tiền thu từ các khoản ký gửi, ký quỹ dài hạn_290601",,
30046,19. Tiền gửi ngắn hạn_290602,,
30047,20. Rút tiền gửi ngắn hạn_290603,,
30048,21. Tiền thu từ chuyển quyền góp vốn vào dự án_290604,,
30049,Lưu chuyển tiền thuần từ hoạt động đầu tư_30,,
30050,III. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH_301,,
30051,"Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu_31",,
30052,"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp của doanh nghiệp đã phát hành_32",,
30053,Tiền thu từ nhận góp vốn liên doanh_33,,
30054,"Tiền vay ngắn hạn, dài hạn nhận được_3301",,
30055,Tiền chi trả nợ gốc vay_34,,
30056,Tiền chi trả nợ thuê tài chính_35,,
30057,Tiền chi cho đầu tư ngắn hạn_36,,
30058,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu_38",,
30059,"Cổ tức, lợi nhuận đã trả cho cổ đông thiểu số_38",,
30060,Nhận vốn góp của cổ đông thiểu số_39,,
30061,Chi khác từ lợi nhuận chưa phân phối_40,,
30062,Tiền thu từ lãi tiền gửi_41,,
30063,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động tài chính_42,,
30064,Lưu chuyển tiền thuần trong năm_52,,
30065,Tiền và tương đương tiền đầu năm_62,,
30066,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ_63,,
30067,Chênh lệch tỷ giá chuyển đối báo cáo tài chính_63,,
30068,Tiền và tương đương tiền cuối năm_72,,
40001,I. Lưu chuyển tiền từ hoạt động kinh doanh_4920,,
40002,1. Thu nhập lãi và các khoản thu nhập tương tự đạt được_4921,,
40003,2. Chi phí lãi và các chi phí tương tự đã trả_4922,,
40004,3. Thu nhập từ hoạt động dịch vụ nhận được_4923,,
40005,"4. Chênh lệch số tiền thực thu / (thực chi) từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán_4924",,
40006,5. Thu nhập thuần từ chứng khoán kinh doanh và chứng khoán sẵn sàng để bán_4925,,
40007,5. Thu nhập / (chi phí) khác_4926,,
40008,"6. Tiền thu từ các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn dự phòng rủi ro_4927",,
40009,"6. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ_4928",,
40010,7. Tiền thuế thu nhập thực nộp trong kỳ_4929,,
40011,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi của tài sản và công nợ hoạt động_4930,,
40012,Thay đổi tài sản hoạt động_4931,,
40013,"8. (Tăng) / giảm tiền, vàng gửi và cho vay các tổ chức tín dụng khác_4932",,
40014,9. (Tăng) / giảm về kinh doanh chứng khoán_4933,,
40015,10. (Tăng) / giảm các công cụ tài chính phái sinh và các khoản nợ tài chính khác_4934,,
40016,11. (Tăng) / giảm các khoản cho vay khách hàng_4935,,
40017,"11. Giảm nguồn dự phòng để bù đắp tổn thất các khoản (tín dung, chứng khoán, đầu tư dài hạn_4936",,
40018,12. (Tăng) / giảm khác về tài sản hoạt động_4937,,
40019,Thay đổi công nợ hoạt động_4938,,
40020,13. Tăng / (giảm) nợ chính phủ và Ngân hàng Nhà nước Việt Nam_4939,,
40021,14. Tăng / (giảm) tiền gửi và vay các tổ chức tín dụng_4940,,
40022,15. Tăng / (giảm) tiền gửi của khách hàng_4941,,
40023,"16. Tăng / (giảm) vốn tài trợ, ủy thác đầu tư, cho vay và Ngân hàng chịu rủi ro_4942",,
40024,17. Tăng / (giảm) phát hành giấy tờ có giá_4943,,
40025,18. Tăng / (giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác_4944,,
40026,19. Tăng / (giảm) khác về công nợ hoạt động_4945,,
40027,20. Chi từ các quỹ_4946,,
40028,Lưu chuyển tiền thuần từ hoạt động kinh doanh_4947,,
40029,Lưu chuyển tiền từ hoạt động đầu tư_4947,,
40030,1. Mua sắm tài sản cố định_4986,,
40031,"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định_4987",,
40032,"3. Tiền chi từ thanh lý, nhượng bán tài sản cố định_4988",,
40033,4. Mua sắm bất động sản đầu tư_4989,,
40034,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư_4990",,
40035,"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư_4991",,
40036,"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác_4992",,
40037,"8. Tiền thu hồi đầu tư, góp vốn vào các đơn vị khác_4993",,
40038,"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn_4994",,
40039,II. Lưu chuyển tiền thuần từ hoạt động đầu tư_50,,
40040,10. Tiền thu cổ tức đã có quyết định trả cổ tức năm trước_5436,,
40041,11. Hoạt động đầu tư khác_9856,,
40042,Lưu chuyển tiền tệ từ hoạt động tài chính_003,,
40043,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu_51,,
40044,2. Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác_52,,
40045,3. Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác_53,,
40046,4. Cổ tức trả cho cổ đông và lợi nhuận đã chia_54,,
40047,5. Tiền chi ra mua cổ phiếu quỹ_55,,
40048,6. Tiền thu được do bán cổ phiếu quỹ_56,,
40049,7. Chi từ các quỹ_57,,
40050,8. Các khoản khác_58,,
40051,III. Lưu chuyển tiền thuần từ hoạt động tài chính_60,,
40052,IV. Lưu chuyển tiền thuần trong kì_70,,
40053,V. Tiền và các khoản tương đương tiền tại thời điểm đầu kì_80,,
40054,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá_81,,
40055,Giảm tiền và các khoản tương đương tiền do thanh lý công ty con_82,,
40056,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kì_90,,
